TABLE_NAME     COLUMN_NAME            DATA_TYPE
tAssessmentScore          IsDeleted                  bit
tAssessmentScore   UserCreated              varchar
tAssessmentScore   DateCreated              datetime
tAssessmentScore   UserUpdated              varchar
tAssessmentScore   DateUpdated              datetime
tBHTreatmentPlan   BHTreatmentPlanID        int
tBHTreatmentPlan   PatientID                int
tBHTreatmentPlan   VisitID                  int
tBHTreatmentPlan   ProviderID               int
tBHTreatmentPlan   ProviderName             varchar
tBHTreatmentPlan   LongTermGoal             varchar
tBHTreatmentPlan   NextReviewDate           datetime
tBHTreatmentPlan   StartDate                datetime
tBHTreatmentPlan   CompletedDate            datetime
tBHTreatmentPlan   PlanStatus               varchar
tBHTreatmentPlan   Comment                  varchar
tBHTreatmentPlan   PatientProblemListID     int
tBHTreatmentPlan   Strength                 varchar
tBHTreatmentPlan   IsActive                 bit
tBHTreatmentPlan   IsDeleted                bit
tBHTreatmentPlan   UserCreated              varchar
tBHTreatmentPlan   DateCreated              datetime
tBHTreatmentPlan   UserUpdated              varchar
tBHTreatmentPlan   DateUpdated              datetime
tBHTreatmentPlan   ClientSignature          image
tBHTreatmentPlan   SignatureID              int
tBHTreatmentPlan   AcceptedCopy             bit
tBHTreatmentPlan   IsInterpreted            bit
tBHTreatmentPlan   LanguageID               int
tBHTreatmentPlan   ExpireDate               datetime
tBillingDetail     BillingDetailID          int
tBillingDetail     BillingHeaderID          int
tBillingDetail     BillingLine              int
tBillingDetail     VisitProcedureID         int
tBillingDetail     VisitID                  int
tBillingDetail     BillingPaymentHeaderID   int
tBillingDetail     BillingItemText          varchar
tBillingDetail     ProviderID               int
tBillingDetail     ProviderName             varchar
tBillingDetail     PayerID                  int
tBillingDetail     PayerName                varchar
tBillingDetail     PayerTypeID              int
tBillingDetail     PatientID                int
tBillingDetail     AccountNumber            varchar
tBillingDetail     AccountTypeID            int
tBillingDetail     AccountID                int
tBillingDetail     Subaccount               varchar
tBillingDetail     AdjustmentCodeID         int
tBillingDetail             AdjustmentText              varchar
tBillingDetail             Amount                      money
tBillingDetail             Quantity                    int
tBillingDetail             ClearingDate                datetime
tBillingDetail             ClearingDocumentID          int
tBillingDetail             ExternalAccount             varchar
tBillingDetail             Comment                     varchar
tBillingDetail             AmountAllowed               money
tBillingDetail             ChargeAmount                money
tBillingDetail             ArchiveDate                 datetime
tBillingDetail             ArchiveDocument             varchar
tBillingDetail             UserCreated                 varchar
tBillingDetail             DateCreated                 datetime
tBillingDetail             UserUpdated                 varchar
